year,dbase,prj_cd
2010,comcatch,LHA_CF10_002 
2011,comcatch,LHA_CF11_002 
2009,nearshore,LHA_IA09_259 
2010,nearshore,LHA_IA10_262 
2011,nearshore,LHA_IA11_300 
2014,nearshore,LHA_IA14_249 
2000,sportfish,LHA_SF00_404 
2000,sportfish,LHA_SF00_501 
2002,sportfish,LHA_SF02_001 
2002,sportfish,LHA_SF02_404 
2002,sportfish,LHA_SF02_501 
2003,sportfish,LHA_SF03_401 
2003,sportfish,LHA_SF03_402 
2003,sportfish,LHA_SF03_404 
2003,sportfish,LHA_SF03_405 
2003,sportfish,LHA_SF03_501 
2004,sportfish,LHA_SF04_001 
2004,sportfish,LHA_SF04_401 
2004,sportfish,LHA_SF04_402 
2004,sportfish,LHA_SF04_404 
2004,sportfish,LHA_SF04_405 
2004,sportfish,LHA_SF04_501 
2005,sportfish,LHA_SF05_001 
2005,sportfish,LHA_SF05_401 
2005,sportfish,LHA_SF05_402 
2005,sportfish,LHA_SF05_404 
2005,sportfish,LHA_SF05_501 
2005,sportfish,LHA_SF05_EC1 
2006,sportfish,LHA_SF06_501 
2007,sportfish,LHA_SF07_404 
2007,sportfish,LHA_SF07_501 
2008,sportfish,LHA_SF08_101 
2008,sportfish,LHA_SF08_401 
2008,sportfish,LHA_SF08_404 
2008,sportfish,LHA_SF08_501 
2012,sportfish,LHA_SF12_603 
2013,sportfish,LHA_SF13_603 
1994,sportfish,LHA_SF94_401 
1994,sportfish,LHA_SF94_404 
1994,sportfish,LHA_SF94_501 
1995,sportfish,LHA_SF95_402 
1995,sportfish,LHA_SF95_404 
1995,sportfish,LHA_SF95_501 
1995,sportfish,LHA_SF95_601 
1995,sportfish,LHA_SF95_602 
1996,sportfish,LHA_SF96_001 
1997,sportfish,LHA_SF97_001 
1997,sportfish,LHA_SF97_402 
1997,sportfish,LHA_SF97_404 
1997,sportfish,LHA_SF97_501 
1998,sportfish,LHA_SF98_401 
1998,sportfish,LHA_SF98_402 
1998,sportfish,LHA_SF98_403 
1998,sportfish,LHA_SF98_404 
1998,sportfish,LHA_SF98_501 
1999,sportfish,LHA_SF99_401 
1999,sportfish,LHA_SF99_402 
1999,sportfish,LHA_SF99_403 
1999,sportfish,LHA_SF99_404 
1999,sportfish,LHA_SF99_501 
2016,stocking,LHA_FS16_001 
2017,stocking,LHA_FS17_001 
2000,sturgeon,LHA_CH00_OFA 
2001,sturgeon,LHA_CH01_OFA 
2002,sturgeon,LHA_CH02_OFA 
1998,sturgeon,LHA_CH98_OFA 
1999,sturgeon,LHA_CH99_OFA 
2000,sturgeon,LHA_IA00_031 
2001,sturgeon,LHA_IA01_031 
2002,sturgeon,LHA_IA02_031 
2003,sturgeon,LHA_IA03_031 
1995,sturgeon,LHA_IA95_031 
1996,sturgeon,LHA_IA96_031 
1997,sturgeon,LHA_IA97_031 
1998,sturgeon,LHA_IA98_031 
1999,sturgeon,LHA_IA99_031 
2001,sturgeon,LHA_SF01_031 
2002,sturgeon,LHA_SF02_031 
2003,sturgeon,LHA_SF03_031 
1997,sturgeon,LHA_SF97_031 
1998,sturgeon,LHA_SF98_031 
1999,sturgeon,LHA_SF99_031 
2000,sturgeon,LHA_XF00_031 
2001,sturgeon,LHA_XF01_031 
2002,sturgeon,LHA_XF02_031 
2003,sturgeon,LHA_XF03_031 
2004,sturgeon,LHA_XF04_031 
2005,sturgeon,LHA_XF05_031 
2006,sturgeon,LHA_XF06_031 
2007,sturgeon,LHA_XF07_031 
1995,sturgeon,LHA_XF95_031 
1996,sturgeon,LHA_XF96_031 
1997,sturgeon,LHA_XF97_031 
1998,sturgeon,LHA_XF98_031 
1999,sturgeon,LHA_XF99_031 
