1,Project Proposal,Prj Prop,Core,1,0,1
2,Project Proposal Presentation,Prj Prop Pres,Core,1,0,2
3,Project Description,Prj Desc,Core,1,0,3
4,Field Protocol,Protocol,Core,1,0,4
5,Project Completion Report,Prj Comp Rep,Core,1,0,5
6,Project Completion Pres.,Prj Comp Pres,Core,1,0,6
7,Summary Report,Sum Rep,Core,1,0,7
8,Approved,App,Core,0,1,2
9,Submitted,Subt'd,Core,0,0,1
10,Field Work Conducted,Field Work,Core,0,1,3
11,Data Scrubbed,Scrubbed,Core,0,0,4
12,Aging Complete,Aged,Core,0,0,5
13,Data Merged,Merged,Core,0,1,6
14,Sign off,Sign off,Core,0,1,200
